key,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States Rape Legacy,32.8,32,31.8,33.1,32.3,32.4,31.8,31.6,30.6,29.8,29.1,27.7,27,27.1,35.9,37,39.3,40.9,41.7,44,43.6,38.4
,,,,,,,,,,,,,,,,,,,,,,
key,United States Rape Legacy,,,,,,,,,,,,,,,,,,,,,
2000,32.8,,,,,,,,,,,,,,,,,,,,,
2001,32,,,,,,,,,,,,,,,,,,,,,
2002,31.8,,,,,,,,,,,,,,,,,,,,,
2003,33.1,,,,,,,,,,,,,,,,,,,,,
2004,32.3,,,,,,,,,,,,,,,,,,,,,
2005,32.4,,,,,,,,,,,,,,,,,,,,,
2006,31.8,,,,,,,,,,,,,,,,,,,,,
2007,31.6,,,,,,,,,,,,,,,,,,,,,
2008,30.6,,,,,,,,,,,,,,,,,,,,,
2009,29.8,,,,,,,,,,,,,,,,,,,,,
2010,29.1,,,,,,,,,,,,,,,,,,,,,
2011,27.7,,,,,,,,,,,,,,,,,,,,,
2012,27,,,,,,,,,,,,,,,,,,,,,
2013,27.1,,,,,,,,,,,,,,,,,,,,,
2014,35.9,,,,,,,,,,,,,,,,,,,,,
2015,37,,,,,,,,,,,,,,,,,,,,,
2016,39.3,,,,,,,,,,,,,,,,,,,,,
2017,40.9,,,,,,,,,,,,,,,,,,,,,
2018,41.7,,,,,,,,,,,,,,,,,,,,,
2019,44,,,,,,,,,,,,,,,,,,,,,
2020,43.6,,,,,,,,,,,,,,,,,,,,,
2021,38.4,,,,,,,,,,,,,,,,,,,,,
