key,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States Robbery,145,148.5,146.1,142.5,136.7,140.8,150,148.3,145.9,133.1,119.3,113.9,113.1,109,101.3,102.2,102.9,98.6,86.1,81.8,73.9
,,,,,,,,,,,,,,,,,,,,,
key,United States Robbery,,,,,,,,,,,,,,,,,,,,
2000,145,,,,,,,,,,,,,,,,,,,,
2001,148.5,,,,,,,,,,,,,,,,,,,,
2002,146.1,,,,,,,,,,,,,,,,,,,,
2003,142.5,,,,,,,,,,,,,,,,,,,,
2004,136.7,,,,,,,,,,,,,,,,,,,,
2005,140.8,,,,,,,,,,,,,,,,,,,,
2006,150,,,,,,,,,,,,,,,,,,,,
2007,148.3,,,,,,,,,,,,,,,,,,,,
2008,145.9,,,,,,,,,,,,,,,,,,,,
2009,133.1,,,,,,,,,,,,,,,,,,,,
2010,119.3,,,,,,,,,,,,,,,,,,,,
2011,113.9,,,,,,,,,,,,,,,,,,,,
2012,113.1,,,,,,,,,,,,,,,,,,,,
2013,109,,,,,,,,,,,,,,,,,,,,
2014,101.3,,,,,,,,,,,,,,,,,,,,
2015,102.2,,,,,,,,,,,,,,,,,,,,
2016,102.9,,,,,,,,,,,,,,,,,,,,
2017,98.6,,,,,,,,,,,,,,,,,,,,
2018,86.1,,,,,,,,,,,,,,,,,,,,
2019,81.8,,,,,,,,,,,,,,,,,,,,
2020,73.9,,,,,,,,,,,,,,,,,,,,
